Visitantes,Dia,Mes,Ano,Day of the week,COVID,Season,Event,Total Turistas
1102,8,2,2020,Saturday,0,Winter,0,18125.071428571428
964,9,2,2020,Sunday,0,Winter,0,18125.071428571428
757,10,2,2020,Monday,0,Winter,0,18125.071428571428
822,11,2,2020,Tuesday,0,Winter,0,18125.071428571428
784,12,2,2020,Wednesday,0,Winter,0,18125.071428571428
728,13,2,2020,Thursday,0,Winter,0,18125.071428571428
941,14,2,2020,Friday,0,Winter,0,18125.071428571428
1279,15,2,2020,Saturday,0,Winter,0,18125.071428571428
1076,16,2,2020,Sunday,0,Winter,0,18125.071428571428
949,17,2,2020,Monday,0,Winter,0,18125.071428571428
860,18,2,2020,Tuesday,0,Winter,0,18125.071428571428
969,19,2,2020,Wednesday,0,Winter,0,18125.071428571428
772,20,2,2020,Thursday,0,Winter,0,18125.071428571428
1101,21,2,2020,Friday,0,Winter,0,18125.071428571428
1537,22,2,2020,Saturday,0,Winter,0,18125.071428571428
1267,23,2,2020,Sunday,0,Winter,0,18125.071428571428
1555,24,2,2020,Monday,0,Winter,0,18125.071428571428
1436,25,2,2020,Tuesday,0,Winter,0,18125.071428571428
1085,26,2,2020,Wednesday,0,Winter,0,18125.071428571428
1039,27,2,2020,Thursday,0,Winter,0,18125.071428571428
1327,28,2,2020,Friday,0,Winter,0,18125.071428571428
1206,29,2,2020,Saturday,0,Winter,0,18125.071428571428
776,1,3,2020,Sunday,1,Winter,0,7174.903225806452
720,2,3,2020,Monday,1,Winter,0,7174.903225806452
614,3,3,2020,Tuesday,1,Winter,0,7174.903225806452
636,4,3,2020,Wednesday,1,Winter,0,7174.903225806452
515,5,3,2020,Thursday,1,Winter,0,7174.903225806452
661,6,3,2020,Friday,1,Winter,0,7174.903225806452
891,7,3,2020,Saturday,1,Winter,0,7174.903225806452
705,8,3,2020,Sunday,1,Winter,0,7174.903225806452
690,9,3,2020,Monday,1,Winter,0,7174.903225806452
510,10,3,2020,Tuesday,1,Winter,0,7174.903225806452
423,11,3,2020,Wednesday,1,Winter,0,7174.903225806452
417,12,3,2020,Thursday,1,Winter,0,7174.903225806452
367,13,3,2020,Friday,1,Winter,0,7174.903225806452
463,14,3,2020,Saturday,1,Winter,0,7174.903225806452
280,16,3,2020,Monday,1,Winter,0,7174.903225806452
138,17,3,2020,Tuesday,1,Winter,0,7174.903225806452
84,18,3,2020,Wednesday,1,Winter,0,7174.903225806452
11,4,5,2020,Monday,1,Spring,0,1023.451612903226
71,6,5,2020,Wednesday,1,Spring,0,1023.451612903226
43,7,5,2020,Thursday,1,Spring,0,1023.451612903226
28,8,5,2020,Friday,1,Spring,0,1023.451612903226
97,9,5,2020,Saturday,1,Spring,0,1023.451612903226
80,11,5,2020,Monday,1,Spring,0,1023.451612903226
63,12,5,2020,Tuesday,1,Spring,0,1023.451612903226
27,13,5,2020,Wednesday,1,Spring,0,1023.451612903226
34,14,5,2020,Thursday,1,Spring,0,1023.451612903226
49,15,5,2020,Friday,1,Spring,0,1023.451612903226
123,16,5,2020,Saturday,1,Spring,0,1023.451612903226
117,18,5,2020,Monday,1,Spring,0,1023.451612903226
104,19,5,2020,Tuesday,1,Spring,0,1023.451612903226
145,20,5,2020,Wednesday,1,Spring,0,1023.451612903226
106,21,5,2020,Thursday,1,Spring,0,1023.451612903226
93,22,5,2020,Friday,1,Spring,0,1023.451612903226
261,23,5,2020,Saturday,1,Spring,0,1023.451612903226
138,25,5,2020,Monday,1,Spring,0,1023.451612903226
130,26,5,2020,Tuesday,1,Spring,0,1023.451612903226
85,27,5,2020,Wednesday,1,Spring,0,1023.451612903226
93,28,5,2020,Thursday,1,Spring,0,1023.451612903226
100,29,5,2020,Friday,1,Spring,0,1023.451612903226
229,30,5,2020,Saturday,1,Spring,0,1023.451612903226
227,1,6,2020,Monday,1,Spring,0,2375.833333333333
140,2,6,2020,Tuesday,1,Spring,0,2375.833333333333
135,3,6,2020,Wednesday,1,Spring,0,2375.833333333333
147,4,6,2020,Thursday,1,Spring,0,2375.833333333333
165,5,6,2020,Friday,1,Spring,1,2375.833333333333
273,6,6,2020,Saturday,1,Spring,1,2375.833333333333
173,8,6,2020,Monday,1,Spring,1,2375.833333333333
155,9,6,2020,Tuesday,1,Spring,1,2375.833333333333
211,10,6,2020,Wednesday,1,Spring,1,2375.833333333333
160,11,6,2020,Thursday,1,Spring,1,2375.833333333333
179,12,6,2020,Friday,1,Spring,1,2375.833333333333
259,13,6,2020,Saturday,1,Spring,1,2375.833333333333
117,15,6,2020,Monday,1,Spring,1,2375.833333333333
106,16,6,2020,Tuesday,1,Spring,1,2375.833333333333
106,17,6,2020,Wednesday,1,Spring,1,2375.833333333333
104,18,6,2020,Thursday,1,Spring,1,2375.833333333333
109,19,6,2020,Friday,1,Spring,1,2375.833333333333
217,20,6,2020,Saturday,1,Spring,0,2375.833333333333
64,22,6,2020,Monday,1,Summer,0,2375.833333333333
60,23,6,2020,Tuesday,1,Summer,0,2375.833333333333
75,24,6,2020,Wednesday,1,Summer,0,2375.833333333333
131,25,6,2020,Thursday,1,Summer,0,2375.833333333333
104,26,6,2020,Friday,1,Summer,0,2375.833333333333
205,27,6,2020,Saturday,1,Summer,0,2375.833333333333
113,29,6,2020,Monday,1,Summer,0,2375.833333333333
105,30,6,2020,Tuesday,1,Summer,0,2375.833333333333
106,1,7,2020,Wednesday,1,Summer,0,4863.354838709677
